age,race,tvhours
79,White,1
23,White,1
31,POC,4
53,White,4
39,White,1
59,White,1
45,White,2
84,White,3
52,POC,4
60,White,3
21,POC,0
25,POC,3
56,POC,1
68,White,3
58,White,4
42,POC,1
39,White,1
20,White,2
38,White,1
61,White,5
54,White,2
79,White,6
42,POC,3
33,POC,1
76,White,0
40,POC,3
27,White,2
50,White,10
39,POC,2
71,White,3
46,White,1
35,White,1
41,White,0
37,White,1
55,White,2
38,White,1
40,White,2
28,POC,0
56,White,17
28,White,4
55,White,4
22,White,5
64,White,2
46,White,1
26,White,0
64,White,3
79,White,5
73,White,4
37,POC,2
42,White,2
34,White,3
58,White,2
50,White,0
80,White,8
32,POC,1
20,White,1
54,POC,4
29,White,0
45,White,1
50,White,1
40,White,2
30,White,3
31,POC,24
37,POC,4
27,POC,5
78,White,2
32,POC,4
24,White,2
88,White,6
56,White,1
49,White,3
65,White,4
48,White,4
25,White,0
71,White,2
57,White,1
55,POC,1
76,White,12
19,White,4
37,White,2
76,White,8
40,POC,2
65,White,8
39,POC,3
50,White,4
41,POC,4
43,POC,1
50,White,0
41,White,1
29,White,4
50,White,2
68,White,5
65,White,5
39,White,2
78,White,1
50,White,4
27,POC,16
27,White,1
43,White,0
67,White,2